"Species","TaxID"
"Carex tenera","314416"
"Carex texensis","433013"
"Carex thornei","653379"
"Carex tonsa","299770"
"Carex torta","140861"
"Carex triangularis","433014"
"Carex tribuloides","312775"
"Carex turgescens","912522"
"Carex typhina","140862"
"Carex umbellata","247930"
"Carex venusta","912525"
"Carex verrucosa","912526"
"Carex virescens","312780"
"Carex vulpinoidea","140866"
"Carex woodii","912529"
"Carphephorus bellidifolius","983206"
"Carphephorus corymbosus","102757"
"Carphephorus odoratissimus","102791"
"Carphephorus paniculatus","102792"
"Carphephorus pseudoliatris","102758"
"Carphephorus tomentosus","983207"
"Carpinus caroliniana","12991"
"Carya aquatica","1040642"
"Carya cordiformis","139928"
"Carya glabra","13403"
"Carya illinoinensis","32201"
"Carya laciniosa","1370058"
"Carya myristiciformis","139929"
"Carya ovalis","2800123"
"Carya ovata","60418"
"Carya pallida","1370059"
"Carya texana","1370061"
"Carya tomentosa","91227"
"Castanea x neglecta","1149949"
"Castanea dentata","134033"
"Castanea mollissima","60419"
"Castanea pumila","167378"
"Castilleja coccinea","374697"
"Catalpa bignonioides","85179"
"Catalpa speciosa","155717"
"Catharanthus roseus","4058"
"Caulophyllum thalictroides","46963"
"Cayaponia quinqueloba","761006"
"Ceanothus americanus","54778"
"Ceanothus microphyllus","1004066"
"Cedrus deodara","3322"
"Celastrus orbiculatus","85181"
"Celastrus scandens","123407"
"Celtis laevigata","102692"
"Celtis occidentalis","228587"
"Cenchrus brownii","586724"
"Cenchrus echinatus","173841"
"Cenchrus gracillimus","1620029"
"Cenchrus longispinus","2071906"
"Cenchrus myosuroides","192626"
"Cenchrus spinifex","1084740"
"Centaurea cyanus","41522"
"Centaurea melitensis","41536"
"Centaurea stoebe","72152"
"Centaurium erythraea","172057"
"Centella erecta","43069"
"Centrosema virginianum","167617"
"Cephalanthus occidentalis","43461"
"Cerastium arvense","271558"
"Cerastium brachypodum","271593"
"Cerastium fontanum","230722"
"Cerastium glomeratum","3580"
"Cerastium nutans","271579"
"Cerastium semidecandrum","271564"
"Ceratiola ericoides","13411"
"Ceratophyllum demersum","4428"
"Ceratophyllum echinatum","251681"
"Ceratophyllum muricatum","1587507"
"Ceratopteris pteridoides","58167"
"Cercis canadensis","49801"
"Cestrum nocturnum","225615"
"Chaenorhinum minus","105913"
"Chaerophyllum procumbens","109108"
"Chaerophyllum tainturieri","109109"
"Chamaecrista deeringiana","2511795"
"Chamaecrista fasciculata","53854"
"Chamaecrista nictitans","225969"
"Chamaecyparis thyoides","187463"
"Chamaelirium luteum","112831"
"Chamaesyce hirta","318062"
"Chamaesyce hypericifolia","212834"
"Chamaesyce hyssopifolia","1046468"
"Chamaesyce maculata","216479"
"Chamaesyce nutans","216481"
"Chamaesyce prostrata","212836"
"Chamaesyce serpens","1046511"
"Chamaesyce serpyllifolia","932095"
"Chaptalia tomentosa","130249"
"Chasmanthium latifolium","38735"
"Chasmanthium laxum","40583"
"Chasmanthium nitidum","796697"
"Chasmanthium sessiliflorum","40584"
"Cheilanthes alabamensis","414604"
"Cheilanthes lanosa","40555"
"Cheilanthes tomentosa","414620"
"Chelidonium majus","71251"
"Chelone glabra","262425"
"Chelone obliqua","46064"
"Chenopodium album","3559"
"Chenopodium berlandieri","345311"
"Chenopodium murale","46091"
"Chenopodium standleyanum","1072230"
"Chilopsis linearis","69901"
"Chimaphila maculata","93813"
"Chimaphila umbellata","93815"
"Chionanthus virginicus","126363"
"Chloris canterai","160574"
"Chloris virgata","314391"
"Chlorophytum comosum","34182"
"Chondrilla juncea","75963"
"Chrysogonum virginianum","121886"
"Chrysoma pauciflosculosa","199504"
"Chrysopsis gossypina","72913"
"Chrysopsis mariana","681113"
"Chrysosplenium americanum","36749"
"Cichorium intybus","13427"
"Cicuta maculata","178650"
"Cinna arundinacea","568985"
"Cinnamomum camphora","13429"
"Circaea lutetiana","253475"
"Cirsium altissimum","1308046"
"Cirsium carolinianum","1308047"
"Cirsium discolor","196712"
"Cirsium horridulum","1308048"
"Cirsium lecontei","1308049"
"Cirsium muticum","196730"
"Cirsium nuttallii","1308050"
"Cirsium repandum","1308051"
"Cirsium undulatum","1234499"
"Cirsium virginianum","2718703"
"Cirsium vulgare","92907"
"Cissus trifoliata","1236435"
"Citrullus lanatus","3654"
"Citrus x aurantium","43166"
"Cladium mariscoides","906947"
"Cladium mariscus","241641"
"Cladonia cristatella","174055"
"Cladrastis kentukea","38412"
"Claytonia caroliniana","313193"
"Claytonia perfoliata","46146"
"Claytonia virginica","89079"
"Cleistes bifaria","111790"
"Cleistes divaricata","78726"
"Clematis crispa","748696"
"Clematis glaucophylla","2763208"
"Clematis ochroleuca","666740"
"Clematis reticulata","748712"
"Clematis socialis","1857147"
"Clematis terniflora","231663"
"Clematis vinacea","3140274"
"Clematis viorna","1857153"
"Clematis virginiana","743734"
"Cleome gynandra","190802"
"Cleome viscosa","190804"
"Clerodendrum bungei","54211"
"Clerodendrum indicum","680190"
"Clerodendrum trichotomum","54229"
"Clethra acuminata","167891"
"Clethra alnifolia","13435"
"Cliftonia monophylla","55375"
"Clinopodium ashei","260596"
"Clinopodium brownei","306380"
"Clinopodium coccineum","182372"
"Clinopodium dentatum","326158"
"Clinopodium georgianum","326159"
"Clinopodium gracile","1150280"
"Clintonia borealis","34183"
"Clintonia umbellulata","155128"
"Clitoria mariana","1089623"
"Clitoria ternatea","43366"
"Cnicus benedictus","50282"
"Cnidoscolus urens","316878"
"Cocculus carolinus","211976"
"Cocos nucifera","13894"
"Coelorachis cylindrica","2907289"
"Coelorachis rugosa","330557"
"Coelorachis tuberculosa","2078715"
"Collinsonia canadensis","39289"
"Collinsonia serotina","2006514"
"Collinsonia verticillata","2006515"
"Colocasia esculenta","4460"
"Comandra umbellata","50119"
"Commelina benghalensis","34173"
"Commelina caroliniana","3108749"
"Commelina communis","4744"
"Commelina diffusa","428226"
"Commelina erecta","428228"
"Commelina virginica","147185"
"Comptonia peregrina","29742"
"Conium maculatum","13447"
"Conoclinium coelestinum","102761"
"Conopholis americana","4179"
"Conringia orientalis","228876"
"Consolida ajacis","37494"
"Convolvulus arvensis","4123"
"Conyza bonariensis","91242"
