Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"BEOC2",,"Betula occidentalis Hook.",water birch
"BEPU4",,"Betula pumila L.",bog birch
"BEPUG",,"Betula pumila L. var. glandulifera Regel",bog birch
"BIBI7",,"Bidens bipinnata L.",Spanish needles
"BICE",,"Bidens cernua L.",nodding beggartick
"BIFR",,"Bidens frondosa L.",devil's beggartick
"BILA",,"Bidens laevis (L.) Britton, Sterns & Poggenb.",smooth beggartick
"BIPI",,"Bidens pilosa L.",hairy beggarticks
"BITR",,"Bidens tripartita L.",threelobe beggarticks
"BIVU",,"Bidens vulgata Greene",big devils beggartick
"BIBI4",,"Bituminaria bituminosa (L.) Stirt.",Arabian pea
"BLSP",,"Blechnum spicant (L.) Sm.",deer fern
"BLBA",,"Blennosperma bakeri Heiser",Baker's stickyseed
"BLNA",,"Blennosperma nanum (Hook.) S.F. Blake",common stickyseed
"BLNAN",,"Blennosperma nanum (Hook.) S.F. Blake var. nanum ",common stickyseed
"BLNAR",,"Blennosperma nanum (Hook.) S.F. Blake var. robustum J.T. Howell",common stickyseed
"BLKI",,"Blepharidachne kingii (S. Watson) Hack.",King's eyelashgrass
"BLSC",,"Blepharipappus scaber Hook.",rough eyelashweed
"BLSCL",,"Blepharipappus scaber Hook. ssp. laevis (A. Gray) D.D. Keck",rough eyelashweed
"BLSCS",,"Blepharipappus scaber Hook. ssp. scaber ",rough eyelashweed
"BLLA4",,"Blepharizonia laxa Greene",blepharizonia
"BLPL",,"Blepharizonia plumosa (Kellogg) Greene",big tarweed
"BLPLP",,"Blepharizonia plumosa (Kellogg) Greene ssp. plumosa ",big tarweed
"BLPLV",,"Blepharizonia plumosa (Kellogg) Greene ssp. viscida D.D. Keck",big tarweed
"BLCR",,"Bloomeria crocea (Torr.) Coville",common goldenstar
"BLCRA",,"Bloomeria crocea (Torr.) Coville var. aurea (Kellogg) J.W. Ingram",common goldenstar
"BLCRC",,"Bloomeria crocea (Torr.) Coville var. crocea ",common goldenstar
"BLCRM",,"Bloomeria crocea (Torr.) Coville var. montana (Greene) J.W. Ingram",common goldenstar
"BLHU",,"Bloomeria humilis Hoover",dwarf goldenstar
"BOCY",,"Boehmeria cylindrica (L.) Sw.",smallspike false nettle
"BONI2",,"Boehmeria nivea (L.) Gaudich.",Chinese grass
"BOCO",,"Boerhavia coccinea Mill.",scarlet spiderling
"BOCO2",,"Boerhavia coulteri (Hook. f.) S. Watson",Coulter's spiderling
"BODI3",,"Boerhavia diffusa L.",red spiderling
"BOIN",,"Boerhavia intermedia M.E. Jones",fivewing spiderling
"BOTR",,"Boerhavia triquetra S. Watson",slender spiderling
"BOWR",,"Boerhavia wrightii A. Gray",largebract spiderling
"BOCA",,"Bolandra californica A. Gray",Sierra false coolwort
"BOFL3",,"Bolboschoenus fluviatilis (Torr.) Soják",river bulrush
"BOGL9",,"Bolboschoenus glaucus (Lam.) S.G. Sm.",tuberous bulrush
"BOMA7",,"Bolboschoenus maritimus (L.) Palla",cosmopolitan bulrush
"BOMAP4",,"Bolboschoenus maritimus (L.) Palla ssp. paludosus (A. Nelson) T. Koyama",cosmopolitan bulrush
"BORO5",,"Bolboschoenus robustus (Pursh) Soják",sturdy bulrush
"BOOF",,"Borago officinalis L.",common borage
"BOHO",,"Boschniakia hookeri Walp.",Vancouver groundcone
"BOST2",,"Boschniakia strobilacea A. Gray",California groundcone
"BOBA3",,"Bothriochloa barbinodis (Lag.) Herter",cane bluestem
"BOIS",,"Bothriochloa ischaemum (L.) Keng",yellow bluestem
"BOISS",,"Bothriochloa ischaemum (L.) Keng var. songarica (Rupr. ex Fisch. & C.A. Mey.) Celarier & Harlan",yellow bluestem
"BOLA2",,"Bothriochloa laguroides (DC.) Herter",silver beardgrass
"BOLAT",,"Bothriochloa laguroides (DC.) Herter ssp. torreyana (Steud.) Allred & Gould",silver beardgrass
"BOAS2",,"Botrychium ascendens W.H. Wagner",trianglelobe moonwort
"BOCR",,"Botrychium crenulatum W.H. Wagner",scalloped moonwort
"BOLA",,"Botrychium lanceolatum (S.G. Gmel.) Angstr.",lanceleaf grapefern
"BOLAL",,"Botrychium lanceolatum (S.G. Gmel.) Angstr. var. lanceolatum ",lanceleaf grapefern
"BOLI7",,"Botrychium lineare W.H. Wagner",narrowleaf grapefern
"BOLU",,"Botrychium lunaria (L.) Sw.",common moonwort
"BOMI",,"Botrychium minganense Victorin",Mingan moonwort
"BOMO",,"Botrychium montanum W.H. Wagner",mountain moonwort
"BOMU",,"Botrychium multifidum (S.G. Gmel.) Trevis.",leathery grapefern
"BOPI",,"Botrychium pinnatum H. St. John",northern moonwort
"BOSI",,"Botrychium simplex E. Hitchc.",little grapefern
"BOVI",,"Botrychium virginianum (L.) Sw.",rattlesnake fern
"BOAR",,"Bouteloua aristidoides (Kunth) Griseb.",needle grama
"BOARA",,"Bouteloua aristidoides (Kunth) Griseb. var. aristidoides ",needle grama
"BOBA2",,"Bouteloua barbata Lag.",sixweeks grama
"BOCU",,"Bouteloua curtipendula (Michx.) Torr.",sideoats grama
"BOCUC",,"Bouteloua curtipendula (Michx.) Torr. var. caespitosa Gould & Kapadia",sideoats grama
"BOER4",,"Bouteloua eriopoda (Torr.) Torr.",black grama
"BOGR2",,"Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths",blue grama
"BOTR2",,"Bouteloua trifida Thurb.",red grama
"BOTRT",,"Bouteloua trifida Thurb. var. trifida ",red grama
"BOIN3",,"Bowlesia incana Ruiz & Pav.",hoary bowlesia
"BOMA3",,"Boykinia major A. Gray",large boykinia
"BOOC2",,"Boykinia occidentalis Torr. & A. Gray",coastal brookfoam
"BORO3",,"Boykinia rotundifolia Parry",roundleaf brookfoam
"BRPO6",,"Brachychiton populneum (Schott & Endl.) R. Br.",whiteflower kurrajong
"BRDI2",,"Brachypodium distachyon (L.) P. Beauv.",purple false brome
"BRPH3",,"Brachypodium phoenicoides (L.) Roem. & Schult.",thinleaf false brome
"BRPI",,"Brachypodium pinnatum (L.) P. Beauv.",heath false brome
"BRRU9",,"Brachypodium rupestre (Host) Roem. & Schult.",false brome
"BRRUC2",,"Brachypodium rupestre (Host) Roem. & Schult. orth. var. ssp. caespitosum (Host) H. Scholz, orth. var.",false brome
"BRBI",,"Brandegea bigelovii (S. Watson) Cogn.",desert starvine
"BRSC",,"Brasenia schreberi J.F. Gmel.",watershield
"BRFR3",,"Brassica fruticulosa Cyr.",Mediterranean cabbage
"BRJU",,"Brassica juncea (L.) Czern.",brown mustard
"BRNA",,"Brassica napus L.",rape
"BRNI",,"Brassica nigra (L.) W.D.J. Koch",black mustard
