Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"MASO",,"Malacothrix sonchoides (Nutt.) Torr. & A. Gray",sowthistle desertdandelion
"MATO2",,"Malacothrix torreyi A. Gray",Torrey's desertdandelion
"MAAF",,"Malcolmia africana (L.) W.T. Aiton",African mustard
"MACO5",,"Malus coronaria (L.) Mill.",sweet crab apple
"MAPU",,"Malus pumila Mill.",paradise apple
"MAMO2",,"Malva moschata L.",musk mallow
"MANE",,"Malva neglecta Wallr.",common mallow
"MAPA5",,"Malva parviflora L.",cheeseweed mallow
"MAPU5",,"Malva pusilla Sm.",low mallow
"MASY",,"Malva sylvestris L.",high mallow
"MAVE",,"Malva verticillata L.",cluster mallow
"MAVU",,"Marrubium vulgare L.",horehound
"MAOL3",,"Marsilea oligospora Goodding",Pacific waterclover
"MAVE2",,"Marsilea vestita Hook. & Grev.",hairy waterclover
"MADI6",,"Matricaria discoidea DC.",disc mayweed
"MARE6",,"Matricaria recutita L.",German chamomile
"MELU",,"Medicago lupulina L.",black medick
"MEPO3",,"Medicago polymorpha L.",burclover
"MESA",,"Medicago sativa L.",alfalfa
"MESAF",,"Medicago sativa L. ssp. falcata (L.) Arcang.",yellow alfalfa
"MESAS",,"Medicago sativa L. ssp. sativa ",alfalfa
"MEBU",,"Melica bulbosa Geyer ex Porter & J.M. Coult.",oniongrass
"MESM",,"Melica smithii (Porter ex A. Gray) Vasey",Smith's melicgrass
"MESP",,"Melica spectabilis Scribn.",purple oniongrass
"MESU",,"Melica subulata (Griseb.) Scribn.",Alaska oniongrass
"MESUP",,"Melica subulata (Griseb.) Scribn. var. pammelii (Scribn.) C.L. Hitchc.",Pammel's oniongrass
"MESUS",,"Melica subulata (Griseb.) Scribn. var. subulata ",Alaska oniongrass
"MEOF",,"Melilotus officinalis (L.) Lam.",sweetclover
"MEAR4",,"Mentha arvensis L.",wild mint
"MESP3",,"Mentha spicata L.",spearmint
"MEAL6",,"Mentzelia albicaulis (Hook.) Torr. & A. Gray",whitestem blazingstar
"MEDE2",,"Mentzelia decapetala (Pursh ex Sims) Urb. & Gilg ex Gilg",tenpetal blazingstar
"MEDI",,"Mentzelia dispersa S. Watson",bushy blazingstar
"MEDIC2",,"Mentzelia dispersa S. Watson var. compacta (A. Nelson) J.F. Macbr.",Nevada blazingstar
"MEDID",,"Mentzelia dispersa S. Watson var. dispersa ",bushy blazingstar
"MEDIL",,"Mentzelia dispersa S. Watson var. latifolia (Rydb.) J.F. Macbr.",bushy blazingstar
"MELA2",,"Mentzelia laevicaulis (Hook.) Torr. & A. Gray",smoothstem blazingstar
"MELAL3",,"Mentzelia laevicaulis (Hook.) Torr. & A. Gray var. laevicaulis ",smoothstem blazingstar
"MEMO4",,"Mentzelia montana (Davidson) Davidson",variegated-bract blazingstar
"MEMU3",,"Mentzelia multiflora (Nutt.) A. Gray",Adonis blazingstar
"MEMUM2",,"Mentzelia multiflora (Nutt.) A. Gray var. multiflora ",Adonis blazingstar
"MENU",,"Mentzelia nuda (Pursh) Torr. & A. Gray",bractless blazingstar
