Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"ANMI3",,"Antennaria microphylla Rydb.",littleleaf pussytoes
"ANPA4",,"Antennaria parvifolia Nutt.",small-leaf pussytoes
"ANPU8",,"Antennaria pulchella Greene",Sierra pussytoes
"ANRO2",,"Antennaria rosea Greene",rosy pussytoes
"ANROC",,"Antennaria rosea Greene ssp. confinis (Greene) Bayer",rosy pussytoes
"ANROP",,"Antennaria rosea Greene ssp. pulvinata (Greene) Bayer",pulvinate pussytoes
"ANSO2",,"Antennaria soliceps S.F. Blake",Charleston Mountain pussytoes
"ANST2",,"Antennaria stenophylla (A. Gray) A. Gray",narrowleaf pussytoes
"ANUM",,"Antennaria umbrinella Rydb.",umber pussytoes
"ANCO2",,"Anthemis cotula L.",stinking chamomile
"ANLA7",,"Antheropeas lanosum (A. Gray) Rydb.",white easterbonnets
"ANWA",,"Antheropeas wallacei (A. Gray) Rydb.",woolly easterbonnets
"ANLE5",,"Anulocaulis leiosolenus (Torr.) Standl.",southwestern ringstem
"ANLEL2",,"Anulocaulis leiosolenus (Torr.) Standl. var. leiosolenus ",southwestern ringstem
"APIN",,"Apera interrupta (L.) P. Beauv.",dense silkybent
"APGR2",,"Apium graveolens L.",wild celery
"APGRD",,"Apium graveolens L. var. dulce (Mill.) DC.",wild celery
"APFL",,"Apocynum ×floribundum Greene (pro sp.) [androsaemifolium × cannabinum]",
"APAN2",,"Apocynum androsaemifolium L.",spreading dogbane
"APCA",,"Apocynum cannabinum L.",Indianhemp
"AQCO",,"Aquilegia coerulea James",Colorado blue columbine
"AQCOO",,"Aquilegia coerulea James var. ochroleuca Hook.",white Colorado columbine
"AQCOP",,"Aquilegia coerulea James var. pinetorum (Tidestr.) Payson ex Kearney & Peebles",Colorado blue columbine
"AQFO",,"Aquilegia formosa Fisch. ex DC.",western columbine
"AQSC",,"Aquilegia scopulorum Tidestr.",Utah columbine
"AQSCS",,"Aquilegia scopulorum Tidestr. var. scopulorum ",Utah columbine
"ARDI2",,"Arabis ×divaricarpa A. Nelson (pro sp.) [drummondii × holboellii]",spreadingpod rockcress
"ARBE2",,"Arabis beckwithii S. Watson",Beckwith's rockcress
"ARBO",,"Arabis bodiensis Rollins",Bodie Hills rockcress
"ARCO",,"Arabis cobrensis M.E. Jones",sagebrush rockcress
"ARCU",,"Arabis cusickii S. Watson",Cusick's rockcress
"ARDA",,"Arabis davidsonii Greene",Davidson's rockcress
"ARDAD",,"Arabis davidsonii Greene var. davidsonii ",Davidson's rockcress
"ARDE",,"Arabis demissa Greene",nodding rockcress
"ARDEL",,"Arabis demissa Greene var. languida Rollins",nodding rockcress
"ARDI",,"Arabis dispar M.E. Jones",pinyon rockcress
"ARDR",,"Arabis drummondii A. Gray",Drummond's rockcress
"ARFA2",,"Arabis falcatoria Rollins",Grouse Creek rockcress
"ARFA3",,"Arabis falcifructa Rollins",Elko rockcress
"ARFE",,"Arabis fendleri (S. Watson) Greene",Fendler's rockcress
"ARFEF",,"Arabis fendleri (S. Watson) Greene var. fendleri ",Fendler's rockcress
"ARFE2",,"Arabis fernaldiana Rollins",park rockcress
"ARFEF2",,"Arabis fernaldiana Rollins var. fernaldiana ",park rockcress
"ARFES2",,"Arabis fernaldiana Rollins var. stylosa (S. Watson) Rollins",park rockcress
"ARGL",,"Arabis glabra (L.) Bernh.",tower rockcress
"ARGL2",,"Arabis glaucovalvula M.E. Jones",bluepod rockcress
"ARGO5",,"Arabis goodrichii S.L. Welsh",Goodrich Eared Rockcress
"ARGR4",,"Arabis gracilipes Greene",Flagstaff rockcress
"ARHI",,"Arabis hirsuta (L.) Scop.",hairy rockcress
"ARHIG",,"Arabis hirsuta (L.) Scop. var. glabrata Torr. & A. Gray",mountain rockcress
"ARHIH",,"Arabis hirsuta (L.) Scop. var. hirsuta ",hairy rockcress
"ARHIP",,"Arabis hirsuta (L.) Scop. var. pycnocarpa (M. Hopkins) Rollins",creamflower rockcress
"ARHO2",,"Arabis holboellii Hornem.",Holboell's rockcress
"ARHOP2",,"Arabis holboellii Hornem. var. pendulocarpa (A. Nelson) Rollins",dropseed rockcress
"ARHOP3",,"Arabis holboellii Hornem. var. pinetorum (Tidestr.) Rollins",Holboell's rockcress
"ARHOR",,"Arabis holboellii Hornem. var. retrofracta (Graham) Rydb.",second rockcress
"ARIN",,"Arabis inyoensis Rollins",Inyo rockcress
"ARLE",,"Arabis lemmonii S. Watson",Lemmon's rockcress
"ARLED",,"Arabis lemmonii S. Watson var. depauperata (A. Nelson & Kennedy) Rollins",soldier rockcress
"ARLED2",,"Arabis lemmonii S. Watson var. drepanoloba (Greene) Rollins",soldier rockcress
"ARLEL",,"Arabis lemmonii S. Watson var. lemmonii ",Lemmon's rockcress
"ARLI",,"Arabis lignifera A. Nelson",desert rockcress
"ARLY",,"Arabis lyallii S. Watson",Lyall's rockcress
"ARLYL",,"Arabis lyallii S. Watson var. lyallii ",Lyall's rockcress
"ARLYN",,"Arabis lyallii S. Watson var. nubigena (J.F. Macbr. & Payson) Rollins",Lyall's rockcress
"ARMI",,"Arabis microphylla Nutt.",littleleaf rockcress
"ARMIM2",,"Arabis microphylla Nutt. var. microphylla ",littleleaf rockcress
"ARNU",,"Arabis nuttallii B.L. Rob.",Nuttall's rockcress
"AROP",,"Arabis ophira Rollins",Ophir Pass rockcress
"ARPE",,"Arabis pendulina Greene",rabbit ear rockcress
"ARPEP",,"Arabis pendulina Greene var. pendulina ",rabbit ear rockcress
"ARPE2",,"Arabis perennans S. Watson",perennial rockcress
"ARPI2",,"Arabis pinzliae Rollins",Boundary Peak rockcress
"ARPL",,"Arabis platysperma A. Gray",pioneer rockcress
"ARPLH2",,"Arabis platysperma A. Gray var. howellii (S. Watson) Jeps.",Howell's pioneer rockcress
"ARPLP2",,"Arabis platysperma A. Gray var. platysperma ",pioneer rockcress
"ARPU",,"Arabis puberula Nutt.",silver rockcress
"ARPU2",,"Arabis pulchra M.E. Jones ex S. Watson",beautiful rockcress
"ARPUG",,"Arabis pulchra M.E. Jones ex S. Watson var. gracilis M.E. Jones",beautiful rockcress
"ARPUM",,"Arabis pulchra M.E. Jones ex S. Watson var. munciensis M.E. Jones",Muncy rockcress
"ARPUP2",,"Arabis pulchra M.E. Jones ex S. Watson var. pulchra ",beautiful rockcress
"ARRE",,"Arabis rectissima Greene",bristlyleaf rockcress
"ARRER2",,"Arabis rectissima Greene var. rectissima ",bristlyleaf rockcress
"ARRES",,"Arabis rectissima Greene var. simulans Rollins",bristlyleaf rockcress
"ARRE2",,"Arabis repanda S. Watson",Yosemite rockcress
"ARRER",,"Arabis repanda S. Watson var. repanda ",Yosemite rockcress
"ARRI",,"Arabis rigidissima Rollins",Trinity Mountain rockcress
"ARRID",,"Arabis rigidissima Rollins var. demota ",Trinity Mountain rockcress
"ARSC2",,"Arabis schistacea Rollins",divided rockcress
"ARSE",,"Arabis selbyi Rydb.",Selby's rockcress
"ARSH",,"Arabis shockleyi Munz",Shockley's rockcress
"ARSP",,"Arabis sparsiflora Nutt.",sicklepod rockcress
"ARSPS2",,"Arabis sparsiflora Nutt. var. sparsiflora ",sicklepod rockcress
"ARSPS",,"Arabis sparsiflora Nutt. var. subvillosa (S. Watson) Rollins",hairystem rockcress
"ARSU2",,"Arabis suffrutescens S. Watson",woody rockcress
"ARSUS",,"Arabis suffrutescens S. Watson var. suffrutescens ",woody rockcress
"ARTI2",,"Arabis tiehmii Rollins",Carson Range rockcress
"ARAB4",,"Arceuthobium abietinum (Engelm.) Hawksw. & Wiens",fir dwarf mistletoe
"ARABA",,"Arceuthobium abietinum Engelm. ex Munz ssp. abietinum ",fir dwarf mistletoe
